Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-3216-18_Kemet-A,2,22u,C11366
"C10, C9",0402,2,1u,C52923
"C11, C4, C5, C6, C7, C8",0402,6,0.1u,C1525
"C12, C13",0402,2,15p,C1548
C3,0603,1,10u,C19702
D1,0603,1,RED,C2286
FB1,0603,1,600R,C1002
J1,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,C456008
"J2, J3, J4",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
R1,0402,1,1k,C11702
R2,0402,1,10k,C25744
R3,0402,1,1k5,C25867
"R4, R5",0402,2,2k2,C25879
SW1,SW_SPDT_PCM12,1,SW_SPDT,C431541
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C2682775
